from_currency,to_currency,effective_date,exchange_rate,source,description
USD,CNY,2024-01-01,7.08,手动配置,2024年美元兑人民币
USD,CNY,2025-01-01,7.20,手动配置,2025年美元兑人民币
USD,CNY,2026-01-01,7.10,手动配置,2026年美元兑人民币
IDR,CNY,2024-01-01,0.00046,手动配置,2024年印尼盾兑人民币
IDR,CNY,2025-01-01,0.00045,手动配置,2025年印尼盾兑人民币
IDR,CNY,2026-01-01,0.00044,手动配置,2026年印尼盾兑人民币
EUR,CNY,2025-01-01,7.80,手动配置,2025年欧元兑人民币
SGD,CNY,2025-01-01,5.30,手动配置,2025年新加坡元兑人民币
JPY,CNY,2025-01-01,0.048,手动配置,2025年日元兑人民币
HKD,CNY,2025-01-01,0.92,手动配置,2025年港币兑人民币
AED,CNY,2025-01-01,1.96,手动配置,2025年迪拉姆兑人民币
AUD,CNY,2025-01-01,4.60,手动配置,2025年澳元兑人民币
说明,,,,,,
"# 表名: exchange_rates（汇率表）",,,,,,
"# 必填列: from_currency, to_currency, effective_date, exchange_rate",,,,,,
"# to_currency 固定为 CNY",,,,,,
"# effective_date 格式: YYYY-MM-DD（每条汇率从该日期开始生效，直到下一条覆盖）",,,,,,
"# exchange_rate: 1单位from_currency = ? CNY",,,,,,
"# 每个币种至少需要一条覆盖分析年度的汇率记录",,,,,,
"# 建议: 按年维护，每年1月1日更新一次即可",,,,,,
